Date,High,Low,Close,Open,Volume,Close.adj
2018/6/11,36.13,30.11,36.13,30.11,78829,36.13
2018/6/12,39.74,39.74,39.74,39.74,26579,39.74
2018/6/13,43.71,43.71,43.71,43.71,45030,43.71
2018/6/14,48.09,48.09,48.09,48.09,74267,48.09
2018/6/15,52.90,52.90,52.90,52.90,256510,52.90
2018/6/19,58.19,58.19,58.19,58.19,1117428,58.19
2018/6/20,64.01,64.01,64.01,64.01,1310382,64.01
2018/6/21,70.40,70.40,70.40,70.40,1231660,70.40
2018/6/22,72.57,63.37,66.42,71.86,128170599,66.42
2018/6/25,71.46,67.09,69.06,68.07,69981999,69.06
2018/6/26,75.40,66.97,74.04,67.76,62553547,74.04
2018/6/27,74.78,71.63,73.95,74.07,44138862,73.95
2018/6/28,75.24,67.31,68.08,73.16,53080981,68.08
2018/6/29,74.16,67.64,71.82,68.55,45698575,71.82
2018/7/02,71.34,68.98,69.86,70.65,32470182,69.86
2018/7/03,71.05,65.72,69.16,70.06,33910064,69.16
2018/7/04,68.02,65.37,65.79,68.02,26282197,65.79
2018/7/05,71.74,64.75,68.68,64.87,34337783,68.68
2018/7/06,74.36,68.57,70.74,68.68,49213427,70.74
2018/7/09,71.43,68.98,71.41,70.66,31068979,71.41
2018/7/10,75.74,71.52,72.26,74.85,36484401,72.26
2018/7/11,78.79,69.44,76.91,69.86,49120805,76.91
2018/7/12,84.61,75.45,84.61,75.88,43085212,84.61
2018/7/13,88.30,80.87,82.54,81.84,48202055,82.54
2018/7/16,84.59,79.94,83.74,82.54,29515196,83.74
2018/7/17,84.01,79.50,82.12,82.95,28615349,82.12
2018/7/18,84.21,79.95,82.12,82.12,27113839,82.12
2018/7/19,84.98,80.51,82.73,81.84,25074483,82.73
2018/7/20,91.00,81.85,90.75,82.34,42695635,90.75
2018/7/23,90.36,87.38,88.45,88.83,25014352,88.45
2018/7/24,92.78,87.33,91.59,88.33,26501025,91.59
2018/7/25,94.89,82.43,82.43,90.82,45719348,82.43
2018/7/26,82.44,76.45,78.05,80.34,39286999,78.05
2018/7/27,78.49,75.52,75.90,77.85,22809584,75.90
2018/7/30,77.19,74.85,76.70,76.35,18041846,76.70
2018/7/31,76.64,70.37,72.08,76.63,28128307,72.08
2018/8/01,73.49,70.88,71.28,71.86,17933649,71.28
2018/8/02,73.15,69.91,72.42,70.26,19853529,72.42
2018/8/03,73.00,68.53,69.46,71.62,17288867,69.46
2018/8/06,70.94,67.47,69.51,68.87,15706945,69.51
2018/8/07,74.32,69.86,73.65,70.34,19964947,73.65
2018/8/08,73.44,70.97,71.38,73.36,14770817,71.38
2018/8/09,75.51,70.16,73.92,71.26,18474864,73.92
2018/8/10,74.35,72.88,74.30,73.46,11673860,74.30
2018/8/13,74.05,71.89,73.87,72.86,10949557,73.87
2018/8/14,73.75,71.30,71.43,73.66,11735618,71.43
2018/8/15,71.89,68.87,68.98,70.84,12916705,68.98
2018/8/16,69.74,66.08,68.86,67.87,10715293,68.86
2018/8/17,70.37,67.97,68.03,69.76,8224837,68.03
2018/8/20,68.98,65.87,68.82,67.75,10922929,68.82
2018/8/21,70.64,67.89,69.43,68.84,10208839,69.43
2018/8/22,70.11,67.08,67.34,68.93,8999917,67.34
2018/8/23,69.51,66.95,68.97,67.52,12193136,68.97
2018/8/24,71.06,67.57,68.67,67.68,13360932,68.67
2018/8/27,70.84,67.76,70.32,68.45,12915092,70.32
2018/8/28,74.18,70.26,72.87,70.47,18813962,72.87
2018/8/29,73.36,71.67,72.88,72.46,10333837,72.88
2018/8/30,73.86,69.49,69.85,73.05,13681809,69.85
2018/8/31,69.07,64.88,65.37,68.36,15901213,65.37
2018/9/03,64.67,60.88,63.14,64.67,15910805,63.14
2018/9/04,64.12,62.64,63.73,63.08,8067558,63.73
2018/9/05,63.86,61.27,61.27,63.48,9689281,61.27
2018/9/06,62.53,60.20,61.72,60.48,8854073,61.72
2018/9/07,64.75,62.09,63.20,62.37,12748586,63.20
2018/9/10,63.67,60.88,61.23,63.44,6545100,61.23
2018/9/11,63.04,61.28,62.45,61.28,6629327,62.45
2018/9/12,65.12,62.49,64.37,62.68,12115986,64.37
2018/9/13,65.97,63.27,64.67,65.51,9852036,64.67
2018/9/14,68.87,65.73,65.77,66.17,15831828,65.77
2018/9/17,65.35,63.47,63.59,64.44,7131416,63.59
2018/9/18,66.28,62.87,66.23,62.88,7789233,66.23
2018/9/19,68.43,65.32,67.20,65.86,9502594,67.20
2018/9/20,69.76,66.88,67.86,66.88,10200717,67.86
2018/9/21,69.76,67.73,69.06,68.50,7748207,69.06
2018/9/25,69.17,67.58,68.20,68.27,4204191,68.20
2018/9/26,73.36,68.53,72.75,68.53,16061574,72.75
2018/9/27,74.80,71.56,72.41,72.11,13694667,72.41
2018/9/28,74.94,71.97,72.86,71.97,11921098,72.86
2018/10/08,71.74,67.67,68.32,71.74,13116724,68.32
2018/10/09,69.03,63.98,64.77,68.78,13389377,64.77
2018/10/10,65.67,63.48,64.77,65.48,7163213,64.77
2018/10/11,63.35,59.39,60.33,61.76,12809465,60.33
2018/10/12,63.04,60.26,62.74,60.33,8600315,62.74
2018/10/15,69.02,67.75,69.02,68.67,19801487,69.02
2018/10/16,70.22,67.81,68.72,69.86,10452197,68.72
2018/10/17,71.64,69.08,69.86,69.63,14232165,69.86
2018/10/18,71.26,65.39,67.90,68.57,10810902,67.90
2018/10/19,74.12,66.88,73.63,66.88,14125112,73.63
2018/10/22,80.94,73.95,78.95,73.95,18106362,78.95
2018/10/23,79.80,75.95,77.85,77.95,12736627,77.85
2018/10/24,79.32,75.97,76.85,77.69,10042803,76.85
2018/10/25,81.42,74.36,80.75,74.85,13372207,80.75
2018/10/26,80.53,72.87,74.45,80.53,17691702,74.45
2018/10/29,75.25,70.46,70.62,74.79,12719771,70.62
2018/10/30,75.20,69.74,74.85,70.51,12887554,74.85
2018/10/31,77.28,74.06,74.36,75.14,9794351,74.36
2018/11/01,76.67,73.07,73.47,75.05,9723959,73.47
2018/11/02,78.48,75.90,78.33,75.99,13705894,78.33
2018/11/05,82.32,77.65,79.24,78.33,13063517,79.24
2018/11/06,82.24,75.85,81.41,78.88,12165834,81.41
2018/11/07,82.22,78.06,78.89,80.04,12658732,78.89
2018/11/08,80.22,76.74,77.16,79.68,8044866,77.16
2018/11/09,78.90,76.51,77.60,76.85,6063937,77.60
2018/11/12,83.64,76.55,83.09,76.85,14889918,83.09
2018/11/13,82.35,79.64,81.47,81.84,14287007,81.47
2018/11/14,82.84,79.59,80.84,80.25,10790715,80.84
2018/11/15,82.04,79.74,81.19,80.25,7576857,81.19
2018/11/16,81.60,78.47,79.95,81.52,9809408,79.95
2018/11/19,81.32,78.85,79.20,79.44,7259001,79.20
2018/11/20,79.05,77.41,77.62,78.56,7722096,77.62
2018/11/21,79.59,76.35,78.50,77.35,7314829,78.50
2018/11/22,79.29,77.45,77.76,78.05,4071768,77.76
2018/11/23,77.80,73.76,73.84,77.76,10403744,73.84
2018/11/26,74.73,72.66,74.47,73.66,7610013,74.47
2018/11/27,76.70,73.62,75.45,74.53,7953332,75.45
2018/11/28,79.33,75.10,78.53,75.60,9918840,78.53
2018/11/29,81.34,77.88,77.88,79.35,9736251,77.88
2018/11/30,80.83,77.86,79.87,77.86,9067577,79.87
2018/12/03,83.33,80.40,80.69,82.36,12645226,80.69
2018/12/04,82.92,79.88,82.14,80.04,9579665,82.14
2018/12/05,82.44,80.44,81.21,80.84,7391554,81.21
2018/12/06,82.12,78.85,78.86,80.64,11385399,78.86
2018/12/07,80.30,79.03,79.54,79.03,5642133,79.54
2018/12/10,80.21,76.65,78.14,79.30,7606831,78.14
2018/12/11,79.03,77.67,78.41,78.35,3450062,78.41
2018/12/12,81.82,78.85,81.34,79.19,9472483,81.34
2018/12/13,82.11,80.42,81.95,81.76,7244428,81.95
2018/12/14,82.32,79.16,79.19,81.77,7090513,79.19
2018/12/17,80.33,76.85,80.00,78.65,6864481,80.00
2018/12/18,80.43,78.53,79.40,78.85,4885589,79.40
2018/12/19,81.54,78.19,79.35,79.01,7092653,79.35
2018/12/20,79.24,76.08,77.19,79.23,9773738,77.19
2018/12/21,78.35,75.45,78.35,77.39,8873743,78.35
2018/12/24,79.09,76.86,77.88,77.53,5938803,77.88
2018/12/25,77.59,75.50,77.05,76.89,6588306,77.05
2018/12/26,77.75,75.38,75.75,77.05,4925282,75.75
2018/12/27,77.33,75.63,75.63,77.05,4881471,75.63
2018/12/28,76.47,73.66,73.66,75.54,5629239,73.66
2019/1/02,74.82,73.39,73.52,74.11,4394096,73.52
2019/1/03,74.39,72.37,73.69,72.37,4494903,73.69
2019/1/04,77.09,73.09,76.81,73.19,7905331,76.81
2019/1/07,77.50,76.15,77.27,76.79,5969559,77.27
2019/1/08,79.30,77.05,79.18,77.07,8574990,79.18
2019/1/09,78.06,75.03,77.83,76.85,12379879,77.83
2019/1/10,77.70,75.87,76.13,77.49,8394273,76.13
2019/1/11,76.60,74.65,75.14,76.45,6136703,75.14
2019/1/14,76.18,74.16,75.93,75.15,4848795,75.93
2019/1/15,77.33,74.70,77.22,75.85,5873635,77.22
2019/1/16,77.05,76.26,76.52,76.75,2573862,76.52
2019/1/17,77.54,76.26,76.51,76.80,3718809,76.51
2019/1/18,77.01,73.86,75.25,77.01,6503927,75.25
2019/1/21,75.48,74.12,75.09,74.88,5241159,75.09
2019/1/22,75.52,73.89,74.13,74.85,4258858,74.13
2019/1/23,75.51,73.87,75.29,74.12,4884798,75.29
2019/1/24,75.71,74.55,75.02,74.85,3798418,75.02
2019/1/25,78.64,75.02,77.29,75.49,9118956,77.29
2019/1/28,78.11,75.87,75.92,77.95,4628893,75.92
2019/1/29,77.24,73.96,76.53,76.11,5236313,76.53
2019/1/30,77.21,73.47,76.05,74.19,7707782,76.05
2019/1/31,77.62,75.90,75.97,76.12,4412755,75.97
2019/2/01,79.02,76.05,78.25,76.52,6214411,78.25
2019/2/11,81.22,78.83,80.84,78.84,8343327,80.84
2019/2/12,81.44,79.87,80.84,80.34,4989121,80.84
2019/2/13,83.41,80.21,81.54,80.64,7877177,81.54
2019/2/14,88.71,81.19,84.56,81.34,12723314,84.56
2019/2/15,85.83,82.24,82.26,84.24,10515313,82.26
2019/2/18,84.71,82.40,84.30,82.99,8778720,84.30
2019/2/19,84.62,81.64,82.13,84.50,9425786,82.13
2019/2/20,84.34,81.94,83.01,82.64,6067442,83.01
2019/2/21,84.70,82.14,83.17,82.54,8228772,83.17
2019/2/22,85.13,81.95,84.21,82.84,8960036,84.21
2019/2/25,91.48,85.60,91.14,85.60,15411302,91.14
2019/2/26,90.62,87.51,88.33,89.82,11324211,88.33
2019/2/27,89.22,85.13,85.88,87.53,9103790,85.88
2019/2/28,89.01,85.84,87.53,85.84,7239918,87.53
2019/3/01,92.70,89.23,89.85,90.92,9619284,89.85
2019/3/04,94.97,90.55,92.21,91.32,14036947,92.21
