Date,Volume,Open,Low,High,Close,Close.adj
2009/12/25,9661747,74,70.3,78.88,70.38,70.38
2009/12/28,2823223,69.88,69.5,73.4,70.8,70.8
2009/12/29,2134155,70.4,70.03,72.48,72.1,72.1
2009/12/30,1771074,71.78,70.46,72.44,70.68,70.68
2009/12/31,1019272,70.6,70.06,71.71,70.86,70.86
2010/1/4,3627417,72.01,71.61,76.06,74.57,74.57
2010/1/5,1775468,74.6,72.7,74.68,73.65,73.65
2010/1/6,1714526,73.1,73.1,76,73.12,73.12
2010/1/7,1387438,73,70.88,73,71.2,71.2
2010/1/8,2182159,70.52,66.95,71.19,68.25,68.25
2010/1/11,2430874,71.6,70.7,74.88,71.9,71.9
2010/1/12,1740600,71.18,71.18,73.99,72.69,72.69
2010/1/13,2481989,71.17,71,79.6,76.95,76.95
2010/1/14,1968590,76.89,76.88,80.8,77.95,77.95
2010/1/15,2222696,77.62,77.12,82.82,82,82
2010/1/18,1790863,82.71,80.52,84.97,82.16,82.16
2010/1/19,1963947,81.7,80.5,86,85.88,85.88
2010/1/20,2320990,85,77.5,85.61,78.22,78.22
2010/1/21,1529881,78.22,78.22,82.49,81.22,81.22
2010/1/22,1784673,79.64,75,80.47,76.3,76.3
2010/1/26,3318900,83.93,83.65,83.93,83.93,83.93
2010/1/27,3429414,82,81.15,86.83,82.52,82.52
2010/1/28,1771967,81,78.38,82,79.28,79.28
2010/1/29,1598001,78.74,78.18,83.28,80.84,80.84
2010/2/1,1584618,78.08,77,82.57,81.5,81.5
2010/2/2,811469,81.49,80.49,83,81.45,81.45
2010/2/3,1372665,81.46,76.6,81.87,79.38,79.38
2010/2/4,1644968,76.81,76.59,79.3,77.2,77.2
2010/2/5,1334953,75.8,75.4,79.24,76.99,76.99
2010/2/8,1053949,75.91,75.91,78.69,77.34,77.34
2010/2/9,1098409,77,74.93,77.24,75.3,75.3
2010/2/10,2202229,75.88,75.88,81.99,81.48,81.48
2010/2/11,1583120,80.9,79.5,83.45,80.87,80.87
2010/2/12,1688209,80.43,80.4,86.6,85.36,85.36
2010/2/22,1121462,85.36,83.04,85.36,83.97,83.97
2010/2/23,1632520,84.5,83.56,88.11,87.61,87.61
2010/2/25,1924767,89.9,87.72,91.8,87.96,87.96
2010/2/26,935146,88.1,86.5,88.38,87,87
2010/3/1,1118373,87.38,85.7,87.59,87.38,87.38
2010/3/2,1099561,87.3,86.61,89.49,87.85,87.85
2010/3/3,1680227,87.38,85.01,87.8,85.61,85.61
2010/3/4,1106372,85.48,82.1,86.2,82.5,82.5
2010/3/5,964627,82.9,82.5,84.8,84.4,84.4
2010/3/8,2828103,87.63,86.51,92.6,90.8,90.8
2010/3/9,1816877,89.3,88.22,92.59,92,92
2010/3/10,1362951,92.1,89.65,93.66,91,91
2010/3/11,3487303,90.98,90.07,100.1,100.1,100.1
2010/3/12,7414512,50.2,46.58,50.69,46.85,93.98
2010/3/15,4192835,46,45.15,47.2,46.99,94.26
2010/3/16,3875007,46.9,43.56,46.9,44.34,88.95
2010/3/17,4446813,44.34,43.9,47.29,45.58,91.43
2010/3/18,3062770,45.7,44.76,45.94,45.8,91.88
2010/3/19,2334250,45.5,45.38,46.2,45.65,91.57
2010/3/22,2745980,45.65,44.85,46.38,46.2,92.68
2010/3/23,6341786,46.01,45.51,49.68,48.98,98.25
2010/3/24,6657612,48.4,48.07,51.45,49.38,99.06
2010/3/25,9649543,49.98,49.77,54.32,53.93,108.18
2010/3/26,6341485,51.5,50.5,53.3,51.85,104.01
2010/3/29,5263314,51.85,48.8,52.7,51.12,102.55
2010/3/30,4303555,50.5,50.04,52.88,52.04,104.39
2010/3/31,6761744,52.48,52.21,56,55.3,110.93
2010/4/1,7371567,55.63,54.52,57.99,55.44,111.21
2010/4/2,3575724,53.9,53.9,56.29,55.7,111.74
2010/4/6,4044411,55.9,55.3,56.87,56.8,113.94
2010/4/7,4662983,56.88,56.88,59,58.77,117.89
2010/4/8,5320279,58.8,55.55,59.5,55.78,111.89
2010/4/9,3906664,55.49,55.2,57.29,57.25,114.84
2010/4/12,3792110,57.08,55.7,57.8,56.4,113.14
2010/4/13,7291389,56.8,50.76,57.68,51.19,102.69
2010/4/14,3634996,50,48.11,52.25,50.32,100.94
2010/4/15,4165495,50.31,46.28,50.99,47.43,95.15
2010/4/16,2679382,47.1,46.6,49.15,48.6,97.49
2010/4/19,2356328,48.69,47.15,49.3,47.69,95.67
2010/4/20,2021307,47.4,44.5,48.17,46.31,92.9
2010/4/21,2791978,46.2,46,49.11,49.1,98.5
2010/4/22,2834231,49.5,48.29,50.8,49.94,100.18
2010/4/23,2340970,49.94,48.03,51.1,48.55,97.39
2010/4/26,1606981,48,46.41,49,47,94.28
2010/4/27,2106367,46.75,44.06,46.75,44.8,89.87
2010/4/28,1585166,44.4,43.18,45.68,43.96,88.18
2010/4/29,1240973,44.38,44,45.3,44.05,88.36
2010/4/30,2222902,43.99,40.01,44.39,41.85,83.95
2010/5/4,1537148,41.3,40.26,43,42.38,85.01
2010/5/5,2019440,42,41.35,45,44.98,90.23
2010/5/6,1908991,44.31,42.52,44.97,42.55,85.36
2010/5/7,1516867,41.21,40.58,42.65,41.73,83.71
2010/5/10,1871229,41.33,38.8,42.35,39.64,79.52
2010/5/11,1325155,40.35,38.01,41,38.44,77.11
2010/5/12,1557430,38.18,36.8,38.44,38.13,76.49
2010/5/13,1444552,38.49,37.18,39,38.9,78.03
2010/5/14,1223719,38.28,38,39.49,39.15,78.54
2010/5/17,1265338,38.5,36.61,38.99,36.82,73.86
2010/5/18,1707738,36.81,34.4,37.35,36.44,73.1
2010/5/19,2008127,36.29,35.51,38.29,37.85,75.93
2010/5/20,1862505,37.04,37.04,38.99,37.95,76.13
2010/5/21,2399366,36.99,36.29,39.89,39.63,79.5
2010/5/24,2406513,39.8,39.5,41.28,40.84,81.93
2010/5/25,2313628,40.78,38.88,40.89,39.18,78.6
2010/5/26,1657394,39.3,37.9,39.8,38.58,77.39
2010/5/27,1635998,38.5,37.71,39.98,39.72,79.68
2010/5/28,1654654,40.56,39.01,40.61,39.66,79.56
2010/5/31,1572943,39.48,38.22,40.12,38.3,76.83
2010/6/1,1581576,37.73,35.99,38.05,36.5,73.22
2010/6/2,933374,36,36,37.2,37.2,74.62
2010/6/3,1781587,37.52,37.38,38.99,37.6,75.43
2010/6/4,1847640,37.9,37.2,39.26,39.2,78.64
2010/6/7,5868786,38.1,38,43.12,43.12,86.5
2010/6/8,4766734,43,42,44.37,43.6,87.46
2010/6/9,4839720,43.3,42.25,44.96,42.78,85.82
2010/6/10,2751122,42.69,42.28,43.95,43.74,87.74
2010/6/11,4241535,43.73,43.35,45.6,44.18,88.63
2010/6/17,2807178,44.5,41.33,45.18,41.38,83.01
2010/6/18,2431718,41.03,37.88,41.29,38.38,76.99
2010/6/21,2017548,38.39,37.02,40,39.94,80.12
2010/6/22,1624055,39.58,39.37,40.69,39.52,79.28
2010/6/23,1606178,39.36,39.01,40.49,40.19,80.62
2010/6/24,1264098,40.19,39.38,40.45,39.84,79.92
2010/6/25,1626520,39.45,37.6,39.59,38.16,76.55
2010/6/28,866450,38.16,37.6,38.36,37.7,75.63
2010/6/29,1764022,37.69,35.06,38,35.18,70.57
2010/6/30,1287543,34.59,33.6,35.45,35.27,70.75
2010/7/1,998408,35.21,34.05,35.44,34.15,68.51
2010/7/2,1475433,34.13,31.67,34.39,33.58,67.36
2010/7/5,865703,32.75,31.89,32.98,32.59,65.38
2010/7/6,1368432,32.49,32.38,33.94,33.71,67.62
2010/7/7,1099081,33.78,33.63,34.52,34.51,69.23
2010/7/8,1007974,34.9,33.2,34.9,33.8,67.8
2010/7/9,1323828,33.81,33.33,35.28,34.8,69.81
2010/7/12,1081319,35,34.7,35.35,34.9,70.01
