"","Close","Arima_pred","Arima_res"
"2012-08-17",50,49.950000025,7.54999997500002
"2012-08-20",51.95,49.9999999999916,4.0000000000084
"2012-08-21",54.9,51.95,3.98999999999999
"2012-08-22",54.4,54.9,2.04
"2012-08-23",52.22,54.4,0.770000000000003
"2012-08-24",56.8,52.22,5.22
"2012-08-27",56.11,56.8,1.65000000000001
"2012-08-28",59.88,56.11,5.61
"2012-08-29",59.6,59.88,2.59999999999999
"2012-08-30",57.3,59.6,0.259999999999998
"2012-08-31",60.71,57.3,5.14
"2012-09-03",62,60.71,2.86
"2012-09-04",60.59,62,0.579999999999998
"2012-09-05",61.95,60.59,2.18
"2012-09-06",62.21,61.95,1.70999999999999
"2012-09-07",62.01,62.21,0.759999999999998
"2012-09-10",61.86,62.01,0.440000000000005
"2012-09-11",60.12,61.86,1.06
"2012-09-12",60,60.12,0.859999999999999
"2012-09-13",63.59,60,5.34999999999999
"2012-09-14",63.4,63.59,2.19
"2012-09-17",60.12,63.4,-0.399999999999999
"2012-09-18",58.9,60.12,0.280000000000001
"2012-09-19",59.2,58.9,0.880000000000003
"2012-09-20",57.5,59.2,0.57
"2012-09-21",56.48,57.5,0.299999999999997
"2012-09-24",56.57,56.48,0.880000000000003
"2012-09-25",54.22,56.57,0.509999999999998
"2012-09-26",53.01,54.22,0.18
"2012-09-27",54.57,53.01,1.8
"2012-09-28",56,54.57,1.79
"2012-10-08",55.38,56,-0.0300000000000011
"2012-10-09",57.2,55.38,2.14
"2012-10-10",57.22,57.2,0.479999999999997
"2012-10-11",55.6,57.22,-0.140000000000001
"2012-10-12",54.7,55.6,1.19
"2012-10-15",54.13,54.7,-0.100000000000001
"2012-10-16",56.01,54.13,2.84999999999999
"2012-10-17",56.13,56.01,0.93
"2012-10-18",56.85,56.13,1.02999999999999
"2012-10-19",58.2,56.85,1.93
"2012-10-22",58.99,58.2,1.09999999999999
"2012-10-23",57.49,58.99,-0.109999999999999
"2012-10-24",56.45,57.49,0.18
"2012-10-25",55.5,56.45,1.02999999999999
"2012-10-26",56,55.5,0.600000000000001
"2012-10-29",58.95,56,2.95
"2012-10-30",59.56,58.95,1.95
"2012-10-31",59.33,59.56,-0.0700000000000003
"2012-11-01",59.8,59.33,0.969999999999999
"2012-11-02",60.41,59.8,1.47000000000001
"2012-11-05",57.9,60.41,0.0900000000000034
"2012-11-06",58.55,57.9,1.6
"2012-11-07",56.62,58.55,-0.0599999999999952
"2012-11-08",55.51,56.62,-0.629999999999995
"2012-11-09",55.18,55.51,0.440000000000005
"2012-11-12",55,55.18,0.960000000000001
"2012-11-13",53.72,55,0.18
"2012-11-14",54.12,53.72,0.870000000000005
"2012-11-15",52.92,54.12,0.0300000000000011
"2012-11-16",52.9,52.92,0.82
"2012-11-19",52.3,52.9,0.280000000000001
"2012-11-20",51.52,52.3,0.200000000000003
"2012-11-21",52.2,51.52,0.68
"2012-11-22",51.58,52.2,-0.210000000000001
"2012-11-23",52,51.58,0.770000000000003
"2012-11-26",50.51,52,-0.119999999999997
"2012-11-27",48.41,50.51,-0.019999999999996
"2012-11-28",49,48.41,1.39
"2012-11-29",48.51,49,0.479999999999997
"2012-11-30",49.68,48.51,1.17
"2012-12-03",48.98,49.68,0.969999999999999
"2012-12-04",49,48.98,0.32
"2012-12-05",51,49,2.45
"2012-12-06",50.22,51,0.5
"2012-12-07",51.1,50.22,0.939999999999998
"2012-12-10",51.39,51.1,0.350000000000001
"2012-12-11",51.01,51.39,0.909999999999997
"2012-12-12",51.8,51.01,0.969999999999999
"2012-12-13",50.81,51.8,-0.0899999999999963
"2012-12-14",52.49,50.81,1.79
"2012-12-17",51.8,52.49,0
"2012-12-18",51.27,51.8,0.290000000000006
"2012-12-19",52.49,51.27,1.47
"2012-12-20",54.45,52.49,3.26
"2012-12-21",57,54.45,2.55
"2012-12-24",57.09,57,1.8
"2012-12-26",60.82,57.09,3.91
"2012-12-27",58.5,60.82,-0.219999999999999
"2012-12-28",59,58.5,2.2
