"","Point.Forecast","Lo.99.5","Hi.99.5"
" 43027201",34.9,22.9402339775249,46.8597660224751
" 43113601",34.9,17.9863366882068,51.8136633117932
" 43200001",34.9,14.1850776024372,55.6149223975628
" 43286401",34.9,10.9804679550498,58.8195320449502
" 43372801",34.9,8.15715017875338,61.6428498212466
" 43459201",34.9,5.60467580186045,64.1953241981395
" 43545601",34.9,3.25743336601073,66.5425666339893
" 43632001",34.9,1.07267337641355,68.7273266235864
" 43718401",34.9,-0.979298067425333,70.7792980674253
" 43804801",34.9,-2.92010091371387,72.7201009137139
" 43891201",34.9,-4.76605647699114,74.5660564769911
" 43977601",34.9,-6.52984479512566,76.3298447951257
" 44064001",34.9,-8.22154963658601,78.021549636586
" 44150401",34.9,-9.849346882082,79.649346882082
" 44236801",34.9,-11.4199746295834,81.2199746295834
" 44323201",34.9,-12.9390640899004,82.7390640899004
" 44409601",34.9,-14.4113785683381,84.2113785683381
" 44496001",34.9,-15.8409899353797,85.6409899353797
" 44582401",34.9,-17.2314114803604,87.0314114803604
" 44668801",34.9,-18.5856996424932,88.3856996424933
" 44755201",34.9,-19.9065330919531,89.7065330919531
" 44841601",34.9,-21.196275035618,90.996275035618
" 44928001",34.9,-22.4570229020305,92.2570229020305
" 45014401",34.9,-23.6906483962791,93.4906483962791
" 45100801",34.9,-24.8988301123755,94.6988301123755
" 45187201",34.9,-26.0830803266045,95.8830803266045
" 45273601",34.9,-27.2447671926885,97.0447671926885
" 45360001",34.9,-28.3851332679785,98.1851332679785
" 45446401",34.9,-29.505311085796,99.3053110857959
" 45532801",34.9,-30.6063363299345,100.406336329935
" 45619201",34.9,-31.6891590477223,101.489159047722
" 45705601",34.9,-32.7546532471729,102.554653247173
" 45792001",34.9,-33.8036251540452,103.603625154045
" 45878401",34.9,-34.8368203506577,104.636820350658
" 45964801",34.9,-35.8549299761667,105.654929976167
" 46051201",34.9,-36.8585961348507,106.658596134851
" 46137601",34.9,-37.8484166326454,107.648416632645
" 46224001",34.9,-38.8249491411781,108.624949141178
" 46310401",34.9,-39.7887148716702,109.58871487167
" 46396801",34.9,-40.7402018274277,110.540201827428
" 46483201",34.9,-41.6798676925362,111.479867692536
" 46569601",34.9,-42.6081424052899,112.40814240529
" 46656001",34.9,-43.5254304574164,113.325430457416
" 46742401",34.9,-44.4321129539823,114.232112953982
" 46828801",34.9,-45.3285494637399,115.12854946374
" 46915201",34.9,-46.2150796853958,116.015079685396
" 47001601",34.9,-47.0920249517016,116.892024951702
" 47088001",34.9,-47.9596895902513,117.759689590251
" 47174401",34.9,-48.8183621573258,118.618362157326
" 47260801",34.9,-49.6683165589661,119.468316558966
" 47347201",34.9,-50.5098130716246,120.309813071625
" 47433601",34.9,-51.343099273172,121.143099273172
" 47520001",34.9,-52.1684108937022,121.968410893702
" 47606401",34.9,-52.9859725944186,122.785972594419
" 47692801",34.9,-53.795998681898,123.595998681898
" 47779201",34.9,-54.598693764164,124.398693764164
" 47865601",34.9,-55.3942533542637,125.194253354264
" 47952001",34.9,-56.1828644263909,125.982864426391
" 48038401",34.9,-56.9647059290381,126.764705929038
" 48124801",34.9,-57.7399492591668,127.539949259167
" 48211201",34.9,-58.5087587009556,128.308758700956
" 48297601",34.9,-59.2712918323079,129.071291832308
" 48384001",34.9,-60.0276999019678,129.827699901968
" 48470401",34.9,-60.7781281798009,130.578128179801
" 48556801",34.9,-61.5227162825377,131.322716282538
" 48643201",34.9,-62.261598477048,132.061598477048
" 48729601",34.9,-62.9949039630126,132.794903963013
" 48816001",34.9,-63.7227571366761,133.522757136676
" 48902401",34.9,-64.4452778372085,134.245277837209
" 48988801",34.9,-65.1625815770536,134.962581577054
" 49075201",34.9,-65.8747797575209,135.674779757521
" 49161601",34.9,-66.5819798707594,136.381979870759
" 49248001",34.9,-67.2842856891487,137.084285689149
" 49334401",34.9,-67.9817974430555,137.781797443056
" 49420801",34.9,-68.6746119878142,138.474611987814
" 49507201",34.9,-69.3628229607208,139.162822960721
" 49593601",34.9,-70.0465209287614,139.846520928761
" 49680001",34.9,-70.7257935277331,140.525793527733
" 49766401",34.9,-71.4007255933639,141.200725593364
" 49852801",34.9,-72.0713992849865,141.871399284986
" 49939201",34.9,-72.737894202276,142.537894202276
" 50025601",34.9,-73.400287495522,143.200287495522
" 50112001",34.9,-74.0586539698663,143.858653969866
" 50198401",34.9,-74.7130661839062,144.513066183906
" 50284801",34.9,-75.3635945430302,145.16359454303
" 50371201",34.9,-76.0103073878263,145.810307387826
" 50457601",34.9,-76.6532710778777,146.453271077878
" 50544001",34.9,-77.292550071236,147.092550071236
" 50630401",34.9,-77.9282069998418,147.728206999842
" 50716801",34.9,-78.5603027411416,148.360302741142
" 50803201",34.9,-79.1888964861343,148.988896486134
" 50889601",34.9,-79.814045804061,149.614045804061
" 50976001",34.9,-80.4358067039398,150.23580670394
" 51062401",34.9,-81.0542336931296,150.85423369313
" 51148801",34.9,-81.6693798330988,151.469379833099
" 51235201",34.9,-82.2812967925582,152.081296792558
" 51321601",34.9,-82.8900348981099,152.69003489811
" 51408001",34.9,-83.4956431825526,153.295643182553
" 51494401",34.9,-84.0981694309734,153.898169430973
" 51580801",34.9,-84.6976602247511,154.497660224751
" 51667201",34.9,-85.2941609835825,155.094160983583
" 51753601",34.9,-85.8877160056423,155.687716005642
" 51840001",34.9,-86.4783685059741,156.278368505974
" 51926401",34.9,-87.0661606532091,156.866160653209
