Date,Volume,Open,Low,High,Close,Close.adj
2017/2/7,11600,4.35,4.35,4.74,4.74,4.74
2017/2/8,4637,5.21,5.21,5.21,5.21,5.21
2017/2/9,5092,5.73,5.73,5.73,5.73,5.73
2017/2/10,4400,6.3,6.3,6.3,6.3,6.3
2017/2/13,2600,6.93,6.93,6.93,6.93,6.93
2017/2/14,2900,7.62,7.62,7.62,7.62,7.62
2017/2/15,7209,8.38,8.38,8.38,8.38,8.38
2017/2/16,9509,9.22,9.22,9.22,9.22,9.22
2017/2/17,14700,10.14,10.14,10.14,10.14,10.14
2017/2/20,31031,11.15,11.15,11.15,11.15,11.15
2017/2/21,27747,12.27,12.27,12.27,12.27,12.27
2017/2/22,17278,13.5,13.5,13.5,13.5,13.5
2017/2/23,51909,14.85,14.85,14.85,14.85,14.85
2017/2/24,53088,16.34,16.34,16.34,16.34,16.34
2017/2/27,45349,17.97,17.97,17.97,17.97,17.97
2017/2/28,39196,19.77,19.77,19.77,19.77,19.77
2017/3/1,41500,21.75,21.75,21.75,21.75,21.75
2017/3/2,475544,23.93,23.93,23.93,23.93,23.93
2017/3/3,768371,26.32,26.32,26.32,26.32,26.32
2017/3/6,152787,28.95,28.95,28.95,28.95,28.95
2017/3/7,110107,31.85,31.85,31.85,31.85,31.85
2017/3/8,2250539,35.04,35.04,35.04,35.04,35.04
2017/3/9,12107857,38.54,37.68,38.54,38.54,38.54
2017/3/10,25413218,40.09,37.25,40.09,37.46,37.46
2017/3/13,14127272,36.69,34.48,37.4,36.64,36.64
2017/3/14,18476287,37.25,36.88,40.1,38.08,38.08
2017/3/15,14998272,38.2,36.36,39.51,38.9,38.9
2017/3/16,17914935,38.18,37.9,41.99,40.51,40.51
2017/3/17,16099930,39.81,37.9,40.79,38.1,38.1
2017/3/20,6184595,37.52,37.33,38.58,38.55,38.55
2017/3/21,7995886,38.49,38.26,39.5,39.32,39.32
2017/3/22,8487017,38.2,38,39.48,39.01,39.01
2017/3/23,11925514,39,38.32,40.88,39.25,39.25
2017/3/24,6229263,38.96,38.2,39.2,38.62,38.62
2017/3/27,5147297,38.63,37.52,38.98,37.84,37.84
2017/3/28,4415120,37.6,37.38,38.58,37.4,37.4
2017/3/29,6881951,37.3,34.5,37.5,34.51,34.51
2017/3/30,5751495,34.2,31.9,34.39,31.91,31.91
2017/3/31,4197345,31.91,30.51,32.49,30.96,30.96
2017/4/5,3132983,30.6,30,31.93,31.85,31.85
2017/4/6,3197335,31.5,31.41,32.96,32.36,32.36
2017/4/7,2768001,32.2,31.2,32.55,31.35,31.35
2017/4/10,3472155,31.32,29.3,31.34,29.57,29.57
2017/4/11,2735825,29.57,28.8,30.17,30.16,30.16
2017/4/12,3595831,30.13,29.76,31.99,30.93,30.93
2017/4/13,2174316,30,29.95,31.87,31.11,31.11
2017/4/14,3296274,30.84,30.82,32.48,31.82,31.82
2017/4/17,2983230,30.01,29.24,30.49,29.65,29.65
2017/4/18,1317413,29.65,29.33,29.96,29.34,29.34
2017/4/19,1669124,29.31,29.01,29.76,29.71,29.71
2017/4/20,2811292,29.72,27.14,29.88,28.38,28.38
2017/4/21,2030216,28.12,27,28.42,27.1,27.1
2017/4/24,2053986,27.1,24.9,27.17,25,25
2017/4/25,1547443,25.14,25.08,25.9,25.4,25.4
2017/4/26,1214966,25.46,25.46,26.13,25.8,25.8
2017/4/27,1862625,25.8,25.6,26.98,26.72,26.72
2017/4/28,1468547,26.72,26.53,27.18,26.6,26.6
2017/5/2,751396,26.6,26.3,26.89,26.65,26.65
2017/5/3,1181509,26.9,25.86,27.09,26.44,26.44
2017/5/4,1157212,26.4,25.81,26.69,26.3,26.3
2017/5/5,2477443,26.03,26.02,28.39,27.34,27.34
2017/5/8,1044198,27.3,26.86,27.38,26.93,26.93
