"","Close","Arima_pred","Arima_res"
"2018-10-16",69.79,69.7207291508894,-11.5607291508894
"2018-10-17",76.78,70.3234572330443,6.45654276695575
"2018-10-18",80.42,77.0420454555936,7.40795454440645
"2018-10-19",88.47,80.6080125631928,-1.64801256319284
"2018-10-22",97.32,88.4049416982592,4.95505830174076
"2018-10-23",94.06,97.0107855084215,4.29921449157854
"2018-10-24",96.39,94.0858916441898,0.654108355810237
"2018-10-25",98.9,96.4377577284339,-3.94775772843394
"2018-10-26",96.54,98.9565418688209,0.163458131179127
"2018-10-29",96.86,96.8174938084648,-0.967493808464766
"2018-10-30",96.69,97.1955924634758,-1.34559246347578
"2018-10-31",98.33,97.0934042186818,0.0465957813181603
"2018-11-01",101.64,98.707807021581,1.58219297841897
"2018-11-02",104.69,101.923982709846,3.64601729015446
"2018-11-05",101.73,104.910702543433,-0.74070254343296
"2018-11-06",111.9,102.1647009218,-2.1447009217999
"2018-11-07",109.25,111.927500348,-0.0375003479997389
"2018-11-08",108.54,109.517303249548,1.72269675045219
"2018-11-09",110.03,108.912801346147,-2.14280134614728
"2018-11-12",111.25,110.389989542132,-1.21998954213234
"2018-11-13",109.31,111.611668261777,-2.36166826177681
"2018-11-14",111.1,109.811987727065,-2.51198772706455
"2018-11-15",111.24,111.549590613768,-1.43959061376773
"2018-11-16",109.9,111.720467053976,-0.430467053976415
"2018-11-19",109.4,110.470129801729,-2.20012980172888
"2018-11-20",106.27,110.004531708628,-1.94453170862755
"2018-11-21",110.94,107.017579395859,-1.73757939585937
"2018-11-22",110.75,111.458345361558,-0.868345361557729
"2018-11-23",107.57,111.29969120927,-0.259691209269604
"2018-11-26",108.85,108.276140532259,0.083859467740794
"2018-11-27",105.84,109.484470824016,0.425529175983826
"2018-11-28",108.87,106.606124857892,-1.52612485789213
"2018-11-29",108.09,109.475233113905,0.774766886094596
"2018-11-30",111.74,108.734779492217,-0.674779492216985
"2018-12-03",118.69,112.221406626802,2.49859337319768
"2018-12-04",118.25,118.896265635511,-0.906265635510906
"2018-12-05",119.86,118.562357104759,-2.35235710475861
"2018-12-06",114.55,120.166613349472,-1.086613349472
"2018-12-07",113.37,115.156399366952,-0.0663993669523961
"2018-12-10",114.34,114.033300367173,-1.9233003671725
"2018-12-11",112.59,114.954016304567,-0.0840163045671432
"2018-12-12",113.16,113.284431180726,-0.254431180725547
"2018-12-13",115.41,113.81638073533,-0.686380735330189
"2018-12-14",107.08,115.962213029306,-0.65221302930567
"2018-12-17",105.51,108.014655298096,-2.61465529809642
"2018-12-18",104.69,106.45165490464,-3.0516549046397
"2018-12-19",97.56,105.604238056142,-0.564238056141917
"2018-12-20",99.98,98.7299491379423,-1.38994913794232
"2018-12-21",98.65,100.933395357326,-1.84339535732559
"2018-12-24",102.6,99.5960111254025,-0.806011125402478
"2018-12-25",105.27,103.307909561796,-1.5979095617958
"2018-12-26",106.57,105.844743310036,-0.574743310036496
"2018-12-27",106.78,107.099035118209,0.860964881791276
"2018-12-28",108.48,107.320604502465,-0.550604502464509
"2019-01-02",103.08,108.964277151061,-3.23427715106122
"2019-01-03",100.63,103.831729316032,-1.23172931603241
"2019-01-04",100.89,101.464800391258,-1.56480039125756
"2019-01-07",101.04,101.671710512206,-1.30171051220562
"2019-01-08",98.83,101.784303596681,-1.36430359668127
"2019-01-09",102.28,99.6483358439653,-0.438335843965277
"2019-01-10",102.62,102.908306203863,0.681693796136557
"2019-01-11",104.2,103.233879322479,-1.03387932247884
"2019-01-14",103.39,104.747861625898,-0.657861625898207
"2019-01-15",104.27,103.990447019648,-0.810447019647597
"2019-01-16",104.97,104.837960708754,-0.887960708753695
"2019-01-17",105.03,105.520027320954,-0.750027320954089
"2019-01-18",108.76,105.593905848391,-0.913905848391096
"2019-01-21",110.36,109.173534856356,0.876465143643685
"2019-01-22",107.75,110.747562852956,0.0924371470436398
"2019-01-23",109.52,108.30206112228,-0.5620611222799
"2019-01-24",107.27,110.010314721159,-1.15031472115899
"2019-01-25",106.2,107.887989794326,-0.617989794326391
"2019-01-28",105.59,106.867685125488,-0.207685125487927
"2019-01-29",103.27,106.276997161882,-0.526997161882164
"2019-01-30",105.41,104.047573708995,-0.947573708994696
"2019-01-31",106.01,106.063487362635,0.646512637365362
"2019-02-01",110.21,106.632481245137,-0.0524812451365193
"2019-02-11",111.24,110.649473162766,-0.309473162766182
"2019-02-12",113.05,111.673272440363,-0.633272440362745
"2019-02-13",112.81,113.444032293708,-1.33403229370795
"2019-02-14",114.95,113.262971326816,-0.652971326815589
"2019-02-15",112.38,115.345193084012,-0.915193084011861
"2019-02-18",114.28,112.936373403073,-0.526373403072625
"2019-02-19",115.07,114.768028432114,0.0319715678857193
"2019-02-20",112.23,115.552464804916,-0.722464804916441
