Date,Volume,Open,Low,High,Close,Close.adj
2015/3/18,56200,27.59,27.59,33.11,33.11,33.11
2015/3/19,13100,36.42,36.42,36.42,36.42,36.42
2015/3/20,10800,40.06,40.06,40.06,40.06,40.06
2015/3/23,18900,44.07,44.07,44.07,44.07,44.07
2015/3/24,29400,48.48,48.48,48.48,48.48,48.48
2015/3/25,44500,53.33,53.33,53.33,53.33,53.33
2015/3/26,127056,58.66,58.66,58.66,58.66,58.66
2015/3/27,269800,64.53,64.53,64.53,64.53,64.53
2015/3/30,462900,70.98,70.98,70.98,70.98,70.98
2015/3/31,488199,78.08,78.08,78.08,78.08,78.08
2015/4/1,1085271,85.89,85.89,85.89,85.89,85.89
2015/4/2,1107247,94.48,94.48,94.48,94.48,94.48
2015/4/3,26992043,103.93,99.99,103.93,103.93,103.93
2015/4/7,26596659,103.99,100,108.88,106.49,106.49
2015/4/8,14873259,102.8,100.12,105.45,103.52,103.52
2015/4/9,22852743,103,99,113.87,113.87,113.87
2015/4/10,14431584,112,110.11,118.79,112.29,112.29
2015/4/13,12014306,109.1,106,110.99,106.9,106.9
2015/4/14,11305017,107,103.8,111.88,105.98,105.98
2015/4/15,10856182,103,97.9,103.86,97.9,97.9
2015/4/16,6554444,95.8,95.01,99.88,96.71,96.71
2015/4/17,5759567,98.22,97.5,99.74,97.83,97.83
2015/4/20,7738943,97,94.41,97,94.5,94.5
2015/4/21,7787108,94.49,94.45,101.88,100.22,100.22
2015/4/22,7632746,100.27,99.35,102.77,101.03,101.03
2015/4/23,6000725,101.9,100,103.48,100.75,100.75
2015/4/24,13251043,98,97.01,110.65,109.12,109.12
2015/4/27,10327093,109.99,103.6,110,104.32,104.32
2015/4/28,7996735,103.5,97.09,104.3,99.38,99.38
2015/4/29,4796865,98.48,98.48,102.8,101.37,101.37
2015/4/30,7115793,100.35,100,105.23,101.8,101.8
2015/5/4,4356454,101.01,98.42,101.49,99.99,99.99
2015/5/5,7641047,99.99,99.38,105.5,101.4,101.4
2015/5/6,8113510,103.8,101.1,105.8,102.13,102.13
2015/5/7,8050159,100,98.12,106.21,104.25,104.25
2015/5/8,13662708,105.6,103,114.68,114.68,114.68
2015/5/11,7090144,118,116.66,126.15,126.15,126.15
2015/5/12,16652989,137.93,128.5,138.77,132.5,132.5
2015/5/13,13881418,124.99,123,143.2,138.25,138.25
2015/5/14,9641301,136.8,130.6,142.36,132,132
2015/5/15,7892456,129,124,129.47,125.98,125.98
2015/5/18,10990461,128.75,128,138.58,137.99,137.99
2015/5/19,10000088,139.9,128.5,141.98,131.96,131.96
2015/5/20,7346426,131.71,130.3,138.3,133.01,133.01
2015/5/21,11069209,132,130.5,145.78,143.59,143.59
2015/5/22,10411216,145.51,135.1,147.45,137.81,137.81
2015/6/2,12423797,151.59,139.6,151.59,140,140
2015/6/3,10752419,133.49,126.1,136.8,127,127
2015/6/4,7148139,125.1,116,132,122.74,122.74
2015/6/5,6526744,125,120,128.77,123.49,123.49
2015/6/8,5986382,123.7,117.3,124.85,118.59,118.59
2015/6/9,4093647,119,118.51,122.96,121.05,121.05
2015/6/10,5723049,121,119.17,126.28,125.13,125.13
2015/6/11,4241425,123.89,122.38,125.2,123,123
2015/6/12,4832253,123,118.5,124.71,119.8,119.8
2015/6/15,7168788,117.55,107.86,118.77,107.89,107.89
2015/6/16,5598097,105,99.8,107,104.12,104.12
2015/6/17,5034677,103.51,103.51,112.87,111.4,111.4
2015/6/18,4495289,110.5,101,110.98,101,101
2015/6/19,4041749,98.01,94.5,99.35,94.83,94.83
