"","Point.Forecast","Lo.99.5","Hi.99.5"
" 87004801",25.19,16.9776899194545,33.4023100805455
" 87091201",25.19,13.5760397056793,36.8039602943207
" 87177601",25.19,10.9658616929852,39.4141383070148
" 87264001",25.19,8.76537983890908,41.6146201610909
" 87350401",25.19,6.82671640759358,43.5532835924064
" 87436801",25.19,5.074030693149,45.305969306851
" 87523201",25.19,3.4622698375279,46.9177301624721
" 87609601",25.19,1.96207941135865,48.4179205886414
" 87696001",25.19,0.553069758363623,49.8269302416364
" 87782401",25.19,-0.779604706084495,51.1596047060845
" 87868801",25.19,-2.04715119922262,52.4271511992226
" 87955201",25.19,-3.25827661402959,53.6382766140296
" 88041601",25.19,-4.41990508541646,54.7999050854165
" 88128001",25.19,-5.53765067535102,55.917650675351
" 88214401",25.19,-6.61614017584386,56.9961401758439
" 88300801",25.19,-7.65924032218184,58.0392403221818
" 88387201",25.19,-8.67022189241361,59.0502218924136
" 88473601",25.19,-9.65188088296202,60.031880882962
" 88560001",25.19,-10.606629734118,60.986629734118
" 88646401",25.19,-11.5365671848128,61.9165671848128
" 88732801",25.19,-12.4435325745485,62.8235325745485
" 88819201",25.19,-13.3291486263472,63.7091486263472
" 88905601",25.19,-14.1948555634987,64.5748555634987
" 88992001",25.19,-15.041938613702,65.421938613702
" 89078401",25.19,-15.8715504027273,66.2515504027273
" 89164801",25.19,-16.684729352376,67.064729352376
" 89251201",25.19,-17.4824149210444,67.8624149210444
" 89337601",25.19,-18.2654603249442,68.6454603249442
" 89424001",25.19,-19.0346432310293,69.4146432310293
" 89510401",25.19,-19.7906748034182,70.1706748034182
" 89596801",25.19,-20.5342074029708,70.9142074029708
" 89683201",25.19,-21.2658411772827,71.6458411772827
" 89769601",25.19,-21.9861297304892,72.3661297304891
" 89856001",25.19,-22.6955850252137,73.0755850252137
" 89942401",25.19,-23.3946816400602,73.7746816400602
" 90028801",25.19,-24.0838604832728,74.4638604832728
" 90115201",25.19,-24.7635320451323,75.1435320451323
" 90201601",25.19,-25.4340792572377,75.8140792572377
" 90288001",25.19,-26.0958600152334,76.4758600152334
" 90374401",25.19,-26.749209412169,77.129209412169
" 90460801",25.19,-27.3944417220547,77.7744417220547
" 90547201",25.19,-28.0318521669361,78.4118521669361
" 90633601",25.19,-28.6617184956825,79.0417184956825
" 90720001",25.19,-29.2843023984452,79.6643023984452
" 90806401",25.19,-29.8998507772193,80.2798507772193
" 90892801",25.19,-30.5085968900054,80.8885968900054
" 90979201",25.19,-31.1107613836114,81.4907613836114
" 91065601",25.19,-31.7065532280592,82.0865532280592
" 91152001",25.19,-32.2961705638182,82.6761705638182
" 91238401",25.19,-32.8798014716034,83.2598014716034
" 91324801",25.19,-33.4576246732164,83.8376246732164
" 91411201",25.19,-34.0298101708329,84.4098101708329
" 91497601",25.19,-34.5965198312171,84.9765198312171
" 91584001",25.19,-35.157907920553,85.537907920553
" 91670401",25.19,-35.7141215949017,86.0941215949017
" 91756801",25.19,-36.265301350702,86.645301350702
" 91843201",25.19,-36.8115814392232,87.1915814392232
" 91929601",25.19,-37.3530902484332,87.7330902484332
" 92016001",25.19,-37.8899506553603,88.2699506553603
" 92102401",25.19,-38.4222803516877,88.8022803516877
" 92188801",25.19,-38.9501921450251,89.3301921450251
" 92275201",25.19,-39.4737942380415,89.8537942380415
" 92361601",25.19,-39.9931904874163,90.3731904874163
" 92448001",25.19,-40.5084806443637,90.8884806443637
" 92534401",25.19,-41.0197605783079,91.3997605783079
" 92620801",25.19,-41.5271224851303,91.9071224851303
" 92707201",25.19,-42.0306550812688,92.4106550812688
" 92793601",25.19,-42.5304437848272,92.9104437848272
" 92880001",25.19,-43.0265708847416,93.4065708847416
" 92966401",25.19,-43.5191156989522,93.8991156989522
" 93052801",25.19,-44.0081547224421,94.3881547224421
" 93139201",25.19,-44.493761765924,94.873761765924
" 93225601",25.19,-44.9760080858893,95.3560080858893
" 93312001",25.19,-45.4549625066651,95.8349625066651
