"","Point.Forecast","Lo.99.5","Hi.99.5"
" 31708801",263.108656512443,251.528144609971,274.689168414916
" 31795201",263.695083990657,247.673873165007,279.716294816307
" 31881601",264.264800948003,245.005552146844,283.524049749162
" 31968001",264.821955888269,242.933875477299,286.710036299239
" 32054401",265.369667420137,241.228345322646,289.510989517628
" 32140801",265.910279935849,239.771569774902,292.048990096796
" 32227201",266.445555815864,238.495152520804,294.395959110924
" 32313601",266.976819917352,237.355772191474,296.59786764323
" 32400001",267.505068192417,236.324348612498,298.685787772337
" 32486401",268.031049341082,235.380489644802,300.681609037362
" 32572801",268.555326193345,234.509388908855,302.601263477836
" 32659201",269.07832185272,233.6999795864,304.456664119041
" 32745601",269.600354384311,232.943781294648,306.256927473973
" 32832001",270.121662891331,232.234151795422,308.009173987241
" 32918401",270.64242711795,231.56578608682,309.71906814908
" 33004801",271.162782185587,230.93437228293,311.391192088244
" 33091201",271.682829670824,230.336349900475,313.029309441172
" 33177601",272.202645933144,229.76873674478,314.636555121508
" 33264001",272.722288375256,229.229002751265,316.215573999247
" 33350401",273.241800149243,228.714976576846,317.76862372164
" 33436801",273.761213694382,228.224775416337,319.297651972427
" 33523201",274.280553396672,227.756751537924,320.80435525542
" 33609601",274.799837588117,227.309451020732,322.290224155502
" 33696001",275.319080049673,226.881581512416,323.756578586931
" 33782401",275.838291141077,226.47198673534,325.204595546815
" 33868801",276.35747865019,226.079626100183,326.635331200196
" 33955201",276.876648431479,225.703558227713,328.049738635245
" 34041601",277.395804886001,225.342927493014,329.448682278988
" 34128001",277.91495132222,224.996952931339,330.832949713101
" 34214401",278.434090227249,224.664919007674,332.203261446824
" 34300801",278.953223470759,224.346167871319,333.560279070199
" 34387201",279.472352458262,224.040092804727,334.904612111797
" 34473601",279.991478246341,223.746132641405,336.236823851277
" 34560001",280.510601629275,223.463766976849,337.557436281702
" 34646401",281.02972320416,223.192512033774,338.866934374545
" 34732801",281.548843419854,222.93191707133,340.165769768379
" 34819201",282.067962613788,222.681561249913,341.454363977663
" 34905601",282.58708103962,222.44105088015,342.73311119909
" 34992001",283.106198888037,222.210016997917,344.002380778158
" 35078401",283.625316302387,221.988113217726,345.262519387048
" 35164801",284.144433390429,221.775013825106,346.513852955752
" 35251201",284.663550233171,221.570412075242,347.7566883911
" 35337601",285.182666891512,221.374018670503,348.991315112521
" 35424001",285.70178341123,221.185560393785,350.218006428674
" 35510401",286.220899826738,221.004778878189,351.437020775288
" 35596801",286.740016163909,220.831429496412,352.648602831406
" 35683201",287.259132442189,220.665280355662,353.852984528717
" 35769601",287.778248676199,220.506111385891,355.050385966508
" 35856001",288.29736487693,220.353713510834,356.241016243025
" 35942401",288.816481052642,220.207887892716,357.425074212568
" 36028801",289.335597209547,220.068445242698,358.602749176396
" 36115201",289.854713352314,219.935205190149,359.77422151448
" 36201601",290.373829484453,219.807995704651,360.939663264255
" 36288001",290.892945608602,219.686652565435,362.099238651769
" 36374401",291.412061726745,219.571018873531,363.253104579959
" 36460801",291.931177840373,219.460944602487,364.40141107826
" 36547201",292.450293950607,219.356286183979,365.544301717235
" 36633601",292.969410058289,219.256906125049,366.681913991529
" 36720001",293.488526164053,219.162672654051,367.814379674055
" 36806401",294.007642268375,219.073459392714,368.941825144037
" 36892801",294.526758371613,218.989145052006,370.064371691221
" 36979201",295.045874474037,218.90961314971,371.182135798363
" 37065601",295.564990575847,218.834751747846,372.295229403849
" 37152001",296.084106677198,218.764453208256,373.403760146139
" 37238401",296.603222778202,218.698613964852,374.507831591552
" 37324801",297.122338878946,218.637134311133,375.607543446758
" 37411201",297.641454979494,218.579918201765,376.702991757222
" 37497601",298.160571079895,218.526873067077,377.794269092713
" 37584001",298.679687180186,218.477909639479,378.881464720892
" 37670401",299.198803280393,218.432941790869,379.964664769917
" 37756801",299.717919380538,218.39188638019,381.043952380886
" 37843201",300.237035480636,218.354663110376,382.119407850897
" 37929601",300.756151580699,218.321194393988,383.191108767409
" 38016001",301.275267680735,218.291405226906,384.259130134564
" 38102401",301.794383780751,218.265223069485,385.323544492017
" 38188801",302.313499880752,218.242577734659,386.384422026846
" 38275201",302.832615980742,218.223401282487,387.441830678998
" 38361601",303.351732080724,218.207627920701,388.495836240747
" 38448001",303.870848180699,218.195193910846,389.546502450552
" 38534401",304.389964280669,218.186037479625,390.593891081714
" 38620801",304.909080380636,218.180098735106,391.638062026167
" 38707201",305.4281964806,218.177319587468,392.679073373732
" 38793601",305.947312580562,218.17764367399,393.716981487134
" 38880001",306.466428680523,218.181016288002,394.751841073043
" 38966401",306.985544780482,218.187384311556,395.783705249408
" 39052801",307.50466088044,218.196696151574,396.812625609306
" 39139201",308.023776980398,218.208901679258,397.838652281538
" 39225601",308.542893080355,218.223952172558,398.861833988152
" 39312001",309.062009180312,218.241800261522,399.882218099103
