"","Close","Arima_pred","Arima_res"
"2015-03-18",33.11,33.076890016555,0.0331099834450157
"2015-03-19",36.42,33.1099999999857,3.31000000001426
"2015-03-20",40.06,36.42,3.64
"2015-03-23",44.07,40.06,4.01
"2015-03-24",48.48,44.07,4.41
"2015-03-25",53.33,48.48,4.85
"2015-03-26",58.66,53.33,5.33
"2015-03-27",64.53,58.66,5.87
"2015-03-30",70.98,64.53,6.45
"2015-03-31",78.08,70.98,7.09999999999999
"2015-04-01",85.89,78.08,7.81
"2015-04-02",94.48,85.89,8.59
"2015-04-03",103.93,94.48,9.45
"2015-04-07",106.49,103.93,4.94999999999999
"2015-04-08",103.52,106.49,-1.03999999999999
"2015-04-09",113.87,103.52,10.35
"2015-04-10",112.29,113.87,4.92
"2015-04-13",106.9,112.29,-1.30000000000001
"2015-04-14",105.98,106.9,4.97999999999999
"2015-04-15",97.9,105.98,-2.12
"2015-04-16",96.71,97.9,1.97999999999999
"2015-04-17",97.83,96.71,3.03
"2015-04-20",94.5,97.83,-0.829999999999998
"2015-04-21",100.22,94.5,7.38
"2015-04-22",101.03,100.22,2.55
"2015-04-23",100.75,101.03,2.45
"2015-04-24",109.12,100.75,9.90000000000001
"2015-04-27",104.32,109.12,0.879999999999995
"2015-04-28",99.38,104.32,-0.019999999999996
"2015-04-29",101.37,99.38,3.42
"2015-04-30",101.8,101.37,3.86
"2015-05-04",99.99,101.8,-0.310000000000002
"2015-05-05",101.4,99.99,5.51000000000001
"2015-05-06",102.13,101.4,4.39999999999999
"2015-05-07",104.25,102.13,4.08
"2015-05-08",114.68,104.25,10.43
"2015-05-11",126.15,114.68,11.47
"2015-05-12",132.5,126.15,12.62
"2015-05-13",138.25,132.5,10.7
"2015-05-14",132,138.25,4.11000000000001
"2015-05-15",125.98,132,-2.53
"2015-05-18",137.99,125.98,12.6
"2015-05-19",131.96,137.99,3.98999999999998
"2015-05-20",133.01,131.96,6.34
"2015-05-21",143.59,133.01,12.77
"2015-05-22",137.81,143.59,3.85999999999999
"2015-06-02",140,137.81,13.78
"2015-06-03",127,140,-3.19999999999999
"2015-06-04",122.74,127,5
"2015-06-05",123.49,122.74,6.03000000000002
"2015-06-08",118.59,123.49,1.36
"2015-06-09",121.05,118.59,4.36999999999999
"2015-06-10",125.13,121.05,5.23
"2015-06-11",123,125.13,0.0700000000000074
"2015-06-12",119.8,123,1.70999999999999
"2015-06-15",107.89,119.8,-1.03
"2015-06-16",104.12,107.89,-0.890000000000001
"2015-06-17",111.4,104.12,8.75
"2015-06-18",101,111.4,-0.420000000000002
"2015-06-19",94.83,101,-1.65000000000001
"2015-06-23",98.49,94.83,3.67
"2015-06-24",102.95,98.49,5.81
"2015-06-25",97.24,102.95,1
"2015-06-26",88.1,97.24,-1.64
"2015-06-29",80.55,88.1,3.90000000000001
"2015-06-30",88.41,80.55,8
"2015-07-01",86.06,88.41,5.79000000000001
"2015-07-02",85.17,86.06,4.27
"2015-07-03",83.99,85.17,5.23999999999999
"2015-07-06",82.6,83.99,8.40000000000001
"2015-07-07",74.34,82.6,-1.22
"2015-07-08",80,74.34,5.66
"2015-07-09",88,80,8
"2015-07-10",96.8,88,8.8
"2015-07-20",94.55,96.8,5.75
"2015-07-21",94.85,94.55,1.95
"2015-07-22",92.89,94.85,0.990000000000009
"2015-07-23",97.11,92.89,6.11
"2015-07-24",93.31,97.11,1.65000000000001
"2015-07-27",83.98,93.31,-0.810000000000002
"2015-07-28",78.5,83.98,-0.280000000000001
"2015-07-29",83.67,78.5,5.48
"2015-07-30",78.77,83.67,-0.0799999999999983
"2015-07-31",78.57,78.77,2.03
"2015-08-03",73,78.57,-0.86999999999999
"2015-08-04",78.45,73,5.59999999999999
"2015-08-05",77.94,78.45,1.42
"2015-08-06",76.53,77.94,0.0600000000000023
"2015-08-07",79.33,76.53,3.45999999999999
"2015-08-10",84.88,79.33,5.85000000000001
"2015-08-11",84.88,84.88,2.01000000000001
"2015-08-12",82.2,84.88,0.670000000000002
"2015-08-13",83.2,82.2,1.05
"2015-08-14",83.1,83.2,1.33
"2015-08-17",80.96,83.1,-0.399999999999991
"2015-08-18",73.8,80.96,0.920000000000002
"2015-08-19",76.98,73.8,3.7
"2015-08-20",75.17,76.98,0.469999999999999
"2015-08-21",71.8,75.17,-0.269999999999996
"2015-08-24",64.62,71.8,-2.67999999999999
"2015-08-25",58.16,64.62,-3.62
"2015-08-26",55.7,58.16,2.84
"2015-08-27",58,55.7,2.98999999999999
"2015-08-28",62.89,58,4.98
"2015-08-31",59.2,62.89,-0.289999999999999
"2015-09-01",56.5,59.2,-0.200000000000003
"2015-09-02",55.75,56.5,2.88
"2015-09-07",57.9,55.75,3.52
"2015-09-08",63.68,57.9,5.78
"2015-09-09",66.3,63.68,3.29
"2015-09-10",62.58,66.3,-1.38
"2015-09-11",62.38,62.58,0.840000000000003
"2015-09-14",56.15,62.38,0.82
"2015-09-15",54.34,56.15,0.840000000000003
"2015-09-16",59.75,54.34,5.43
"2015-09-17",57.5,59.75,0.729999999999997
"2015-09-18",57.34,57.5,0.869999999999997
"2015-09-21",60.62,57.34,3.27999999999999
"2015-09-22",60.94,60.62,1.85
"2015-09-23",60.71,60.94,1.03
"2015-09-24",61.14,60.71,1.69
"2015-09-25",58.39,61.14,-0.140000000000001
"2015-09-28",60.66,58.39,2.55
"2015-09-29",59.1,60.66,-0.169999999999995
"2015-09-30",59.8,59.1,1.38
"2015-10-08",62.5,59.8,3.6
"2015-10-09",62.83,62.5,0.490000000000002
"2015-10-12",69.11,62.83,6.28
"2015-10-13",69.74,69.11,2.27
"2015-10-14",68.81,69.74,1.36
"2015-10-15",71.31,68.81,2.67999999999999
"2015-10-16",71.43,71.31,0.640000000000001
"2015-10-19",73.71,71.43,4.47
"2015-10-20",74.38,73.71,1.26000000000001
"2015-10-21",67.51,74.38,-0.0799999999999983
"2015-10-22",70.34,67.51,2.92
"2015-10-23",73.72,70.34,3.61999999999999
"2015-10-26",79.65,73.72,7.27
"2015-10-27",78.83,79.65,-0.370000000000005
"2015-10-28",76.4,78.83,0.640000000000001
"2015-10-29",77.66,76.4,2.28999999999999
"2015-10-30",77.32,77.66,0.329999999999998
"2015-11-02",78,77.32,4.68000000000001
"2015-11-03",78.36,78,1.98
"2015-11-04",82.49,78.36,4.44
"2015-11-05",81.81,82.49,2.01000000000001
"2015-11-06",84,81.81,2.66
"2015-11-09",85.93,84,2.48999999999999
"2015-11-10",84.83,85.93,0.259999999999991
"2015-11-11",93.31,84.83,8.48
"2015-11-12",96.65,93.31,5.27
"2015-11-13",89.01,96.65,-1.05000000000001
"2015-11-16",90.17,89.01,1.44999999999999
"2015-11-17",86.91,90.17,2.72
"2015-11-18",83.7,86.91,1.07000000000001
"2015-11-19",87.46,83.7,3.88
"2015-11-20",86.98,87.46,1.03
"2015-11-23",88.46,86.98,4.02
"2015-11-24",92.55,88.46,4.17
"2015-11-25",91.95,92.55,0.430000000000007
"2015-11-26",90,91.95,1.92999999999999
"2015-11-27",84.4,90,-0.150000000000006
"2015-11-30",84.85,84.4,0.989999999999995
"2015-12-01",85.08,84.85,2.28
"2015-12-02",81.3,85.08,-0.129999999999995
"2015-12-03",83.22,81.3,2.33
"2015-12-04",83.35,83.22,2.05
"2015-12-07",83.45,83.35,0.820000000000007
"2015-12-08",83.6,83.45,1.83
"2015-12-09",80.94,83.6,0.370000000000005
"2015-12-10",81.29,80.94,1.36
"2015-12-11",80,81.29,1
"2015-12-14",81.03,80,1.3
"2015-12-15",81.88,81.03,2.45999999999999
"2015-12-16",86.43,81.88,7.10000000000001
"2015-12-17",88,86.43,1.56999999999999
"2015-12-18",87.27,88,1.89
"2015-12-21",88.2,87.27,2.03
"2015-12-22",86.83,88.2,0.799999999999997
"2015-12-23",85.96,86.83,0.629999999999995
"2015-12-24",87.79,85.96,1.93000000000001
"2015-12-25",89.55,87.79,3.53999999999999
"2015-12-28",84.98,89.55,0.950000000000003
"2015-12-29",85.01,84.98,0.5
"2015-12-30",85.38,85.01,0.689999999999998
"2015-12-31",83.38,85.38,0.0900000000000034
"2016-01-04",75.2,83.38,0.109999999999999
"2016-01-05",75.19,75.2,0.819999999999993
"2016-01-06",77.75,75.19,2.56
"2016-01-07",70.07,77.75,-1.25
"2016-01-08",71.1,70.07,3.33000000000001
"2016-01-11",64.51,71.1,-1.14
"2016-01-12",65.9,64.51,1.98999999999999
"2016-01-13",62.59,65.9,0.449999999999989
"2016-01-14",65,62.59,3.20999999999999
"2016-01-15",62.56,65,0.599999999999994
"2016-01-18",64.48,62.56,2.69
"2016-01-19",66.21,64.48,1.77
"2016-01-20",66.25,66.21,1
"2016-01-21",63.8,66.25,0.519999999999996
"2016-01-22",64.38,63.8,1
"2016-01-25",64.58,64.38,1.02000000000001
"2016-01-26",58.78,64.58,-0.589999999999996
"2016-01-27",59.72,58.78,1.33
"2016-01-28",57.4,59.72,0
"2016-01-29",59.85,57.4,3.01
"2016-02-01",65.2,59.85,5.99
"2016-02-02",66.46,65.2,1.72
"2016-02-03",65.66,66.46,-0.399999999999991
"2016-02-04",66.9,65.66,2.32000000000001
"2016-02-05",65.5,66.9,0.449999999999989
"2016-02-15",65.47,65.5,0.989999999999995
"2016-02-16",67.95,65.47,2.77
"2016-02-17",70.41,67.95,4.48999999999999
"2016-02-18",70.75,70.41,1.58
"2016-02-19",70.1,70.75,0.549999999999997
"2016-02-22",71.15,70.1,1.46000000000001
"2016-02-23",69.67,71.15,0.239999999999995
"2016-02-24",68.6,69.67,0.310000000000002
"2016-02-25",62.3,68.6,-0.22999999999999
"2016-02-26",62.23,62.3,1.63
"2016-02-29",61.21,62.23,0.770000000000003
"2016-03-01",63.61,61.21,2.41
"2016-03-02",66.37,63.61,2.98999999999999
"2016-03-03",65,66.37,1.19
"2016-03-04",62.45,65,-0.0400000000000063
"2016-03-07",63.76,62.45,2.55
"2016-03-08",63.93,63.76,0.210000000000001
"2016-03-09",62.54,63.93,0.0200000000000031
"2016-03-10",61.94,62.54,0.950000000000003
"2016-03-11",63.55,61.94,1.61
"2016-03-14",66.24,63.55,3.33
"2016-03-15",64.81,66.24,0.0500000000000114
"2016-03-16",64.01,64.81,1.69
"2016-03-17",67.39,64.01,3.58999999999999
"2016-04-08",74.13,67.39,6.73999999999999
"2016-04-11",71.6,74.13,-0.129999999999995
"2016-04-12",70.15,71.6,0.280000000000001
"2016-04-13",70.12,70.15,1.19
"2016-04-14",70.17,70.12,0.670000000000002
"2016-04-15",71.37,70.17,2.42999999999999
"2016-04-18",69.9,71.37,-0.719999999999999
"2016-04-19",68.74,69.9,0.359999999999999
"2016-04-20",65.05,68.74,0.730000000000004
"2016-04-21",65.33,65.05,0.939999999999998
"2016-04-22",66.66,65.33,1.33
"2016-04-25",73.33,66.66,6.67
"2016-04-26",72.5,73.33,0.640000000000001
"2016-04-27",70.48,72.5,0.0999999999999943
"2016-04-28",72.81,70.48,2.34999999999999
"2016-04-29",71.06,72.81,0.679999999999993
"2016-05-03",72.02,71.06,1.23999999999999
"2016-05-04",72.47,72.02,1.88000000000001
"2016-05-05",73.45,72.47,1.33
"2016-05-06",75.81,73.45,5.22
"2016-05-09",77.28,75.81,3.23999999999999
"2016-05-10",72.14,77.28,-0.400000000000006
"2016-05-11",74.96,72.14,3.70999999999999
"2016-05-12",70.89,74.96,-2.47999999999999
"2016-05-13",70.58,70.89,1.51000000000001
"2016-05-16",72.37,70.58,2.27
"2016-05-17",72.54,72.37,1.48999999999999
"2016-05-18",67.7,72.54,-1.54000000000001
"2016-05-19",68.21,67.7,2.3
"2016-05-20",71.8,68.21,3.59
"2016-05-23",74.8,71.8,4.08
"2016-05-24",76.01,74.8,3.88000000000001
"2016-05-25",74.6,76.01,0.899999999999991
"2016-05-26",77.33,74.6,2.79000000000001
"2016-05-27",82.2,77.33,7.73
"2016-05-30",82.2,82.2,2.38
"2016-05-31",84.77,82.2,3.97
"2016-06-01",93.24,84.77,8.48
"2016-06-02",94.2,93.24,1.99000000000001
"2016-06-03",92.36,94.2,-0.200000000000003
"2016-06-06",93.12,92.36,3.57000000000001
"2016-06-07",95.3,93.12,2.47999999999999
"2016-06-08",93,95.3,2.33
"2016-06-13",83.7,93,-2.12
"2016-06-14",82.58,83.7,-0.299999999999997
"2016-06-15",90.75,82.58,8.22
"2016-06-16",90.14,90.75,1.95999999999999
"2016-06-17",90.97,90.14,3.73999999999999
"2016-06-20",92.2,90.97,2.71000000000001
"2016-06-21",28.48,92.2,-61.63
"2016-06-22",29.09,28.48,0.789999999999996
"2016-06-23",29.19,29.09,1.33
"2016-06-24",28.35,29.19,0.18
"2016-06-27",28.91,28.35,0.799999999999997
"2016-06-28",28.9,28.91,0.239999999999998
"2016-06-29",28.49,28.9,0.280000000000001
"2016-06-30",28.12,28.49,0.280000000000001
"2016-07-01",28.58,28.12,0.559999999999999
"2016-07-04",28.66,28.58,0.210000000000001
"2016-07-05",28.13,28.66,0.0399999999999991
"2016-07-06",28.02,28.13,0.359999999999999
"2016-07-07",27.73,28.02,0.16
"2016-07-08",28.37,27.73,1.15
"2016-07-11",27.73,28.37,0.0500000000000007
"2016-07-12",27.5,27.73,0.23
"2016-07-13",27.38,27.5,0.199999999999999
"2016-07-14",27.55,27.38,0.18
"2016-07-15",26.84,27.55,-0.0899999999999999
"2016-07-18",25.5,26.84,-0.120000000000001
"2016-07-19",25.76,25.5,0.350000000000001
"2016-07-20",25.8,25.76,0.219999999999999
"2016-07-21",25.59,25.8,0.140000000000001
"2016-07-22",25.55,25.59,0.23
"2016-07-25",26.33,25.55,1.13
"2016-07-26",26.2,26.33,0
"2016-07-27",24.8,26.2,0.199999999999999
"2016-07-28",24.33,24.8,0
"2016-07-29",23.93,24.33,0.150000000000002
"2016-08-01",23.67,23.93,-0.129999999999999
"2016-08-02",23.93,23.67,0.27
"2016-08-03",23.64,23.93,-0.0500000000000007
"2016-08-04",23.8,23.64,0.329999999999998
"2016-08-05",23.51,23.8,0.18
"2016-08-08",23.5,23.51,0.109999999999999
"2016-08-09",23.74,23.5,0.379999999999999
"2016-08-10",24.96,23.74,1.91
"2016-08-11",24.31,24.96,-0.140000000000001
"2016-08-12",24.47,24.31,0.470000000000002
"2016-08-15",24.83,24.47,0.52
"2016-08-16",24.8,24.83,0.330000000000002
"2016-08-17",24.77,24.8,0.18
"2016-08-18",24.54,24.77,0.129999999999999
"2016-08-19",24.47,24.54,0.109999999999999
"2016-08-22",24.01,24.47,0.0199999999999996
"2016-08-23",25.11,24.01,1.42
"2016-08-24",25.18,25.11,0.420000000000002
"2016-08-25",24.92,25.18,-0.120000000000001
"2016-08-26",25.19,24.92,0.75
"2016-08-29",25.7,25.19,0.559999999999999
"2016-08-30",25.49,25.7,0.690000000000001
"2016-08-31",25.25,25.49,0.110000000000003
"2016-09-01",24.98,25.25,0.109999999999999
"2016-09-02",24.73,24.98,-0.0100000000000016
"2016-09-05",24.72,24.73,0.469999999999999
"2016-09-06",25.15,24.72,0.43
"2016-09-07",24.87,25.15,0.150000000000002
"2016-09-08",24.57,24.87,0.199999999999999
"2016-09-09",24.42,24.57,0.169999999999998
"2016-09-12",23.31,24.42,-0.420000000000002
"2016-09-13",23.49,23.31,0.300000000000001
"2016-09-14",24.8,23.49,2.28
"2016-09-19",25.12,24.8,0.939999999999998
"2016-09-20",24.6,25.12,-0.109999999999999
"2016-09-21",24.75,24.6,0.279999999999998
"2016-09-22",24.58,24.75,0.190000000000001
"2016-09-23",24.38,24.58,0.120000000000001
"2016-09-26",23.93,24.38,0.48
"2016-09-27",24.17,23.93,0.240000000000002
"2016-09-28",24.24,24.17,0.0999999999999979
"2016-09-29",24.14,24.24,0.520000000000003
"2016-09-30",24.16,24.14,0.16
"2016-10-10",24.63,24.16,0.539999999999999
"2016-10-11",24.56,24.63,0.170000000000002
"2016-10-12",24.64,24.56,0.0800000000000018
"2016-10-13",24.4,24.64,0.120000000000001
"2016-10-14",25.37,24.4,1.16
"2016-10-17",24.93,25.37,0.439999999999998
"2016-10-18",25.3,24.93,0.510000000000002
"2016-10-19",25.11,25.3,0.239999999999998
"2016-10-20",25.75,25.11,0.699999999999999
"2016-10-21",25.86,25.75,0.489999999999998
"2016-10-24",26.12,25.86,0.609999999999999
"2016-10-25",25.97,26.12,0.259999999999998
"2016-10-26",25.45,25.97,0.150000000000002
"2016-10-27",25.69,25.45,0.470000000000002
