"","Point.Forecast","Lo.99.5","Hi.99.5"
" 38188801",20.3795778445953,14.4335919035348,26.3255637856558
" 38275201",20.3795778445953,10.9086871718892,29.8504685173014
" 38361601",20.3795778445953,8.37787832088566,32.3812773683049
" 38448001",20.3795778445953,6.29469897466981,34.4644567145208
" 38534401",20.3795778445953,4.48219333947827,36.2769623497123
" 38620801",20.3795778445953,2.85616906015509,37.9029866290355
" 38707201",20.3795778445953,1.36871577183127,39.3904399173593
" 38793601",20.3795778445953,-0.0105152908643618,40.769670980055
" 38880001",20.3795778445953,-1.30218682979827,42.0613425189889
" 38966401",20.3795778445953,-2.52111954039371,43.2802752295843
" 39052801",20.3795778445953,-3.6783722351996,44.4375279243902
" 39139201",20.3795778445953,-4.78245671870989,45.5416124079005
" 39225601",20.3795778445953,-5.84009043492392,46.5992461241145
" 39312001",20.3795778445953,-6.8566852252733,47.6158409144639
" 39398401",20.3795778445953,-7.8366771750587,48.5958328642493
" 39484801",20.3795778445953,-8.78375647535534,49.5429121645459
" 39571201",20.3795778445953,-9.70103202256451,50.4601877117551
" 39657601",20.3795778445953,-10.5911520677483,51.3503077569389
" 39744001",20.3795778445953,-11.456394460745,52.2155501499356
" 39830401",20.3795778445953,-12.298735360793,53.0578910499836
" 39916801",20.3795778445953,-13.1199023793204,53.879058068511
" 40003201",20.3795778445953,-13.9214162604679,54.6805719496585
" 40089601",20.3795778445953,-14.7046239835586,55.4637796727492
" 40176001",20.3795778445953,-15.4707253513569,56.2298810405475
" 40262401",20.3795778445953,-16.220794565597,56.9799502547876
" 40348801",20.3795778445953,-16.9557978986301,57.7149535878207
" 40435201",20.3795778445953,-17.6766082913128,58.4357639805034
" 40521601",20.3795778445953,-18.3840175063773,59.1431731955679
" 40608001",20.3795778445953,-19.0787463197304,59.837902008921
" 40694401",20.3795778445953,-19.7614531234811,60.5206088126717
" 40780801",20.3795778445953,-20.4327412331431,61.1918969223337
" 40867201",20.3795778445953,-21.0931651298716,61.8523208190622
" 40953601",20.3795778445953,-21.743235821508,62.5023915106986
" 41040001",20.3795778445953,-22.3834254698624,63.142581159053
" 41126401",20.3795778445953,-23.014171403371,63.7733270925616
" 41212801",20.3795778445953,-23.6358796120578,64.3950353012484
" 41299201",20.3795778445953,-24.2489278041658,65.0080834933564
" 41385601",20.3795778445953,-24.853668089834,65.6128237790246
" 41472001",20.3795778445953,-25.4504293459739,66.2095850351645
" 41558401",20.3795778445953,-26.0395193074464,66.798674996637
" 41644801",20.3795778445953,-26.6212264222867,67.3803821114772
" 41731201",20.3795778445953,-27.195821502723,67.9549771919136
" 41817601",20.3795778445953,-27.7635591988076,68.5227148879982
" 41904001",20.3795778445953,-28.3246793174119,69.0838350066025
" 41990401",20.3795778445953,-28.879408005968,69.6385636951586
" 42076801",20.3795778445953,-29.427958817531,70.1871145067216
" 42163201",20.3795778445953,-29.9705336713896,70.7296893605802
" 42249601",20.3795778445953,-30.5073237214775,71.2664794106681
" 42336001",20.3795778445953,-31.0385101431765,71.7976658323671
" 42422401",20.3795778445953,-31.5642648476941,72.3234205368846
" 42508801",20.3795778445953,-32.0847511319995,72.8439068211901
" 42595201",20.3795778445953,-32.6001242712851,73.3592799604757
" 42681601",20.3795778445953,-33.1105320600449,73.8696877492355
" 42768001",20.3795778445953,-33.616115307114,74.3752709963046
" 42854401",20.3795778445953,-34.1170082893692,74.8761639785598
" 42940801",20.3795778445953,-34.6133391682316,75.3724948574222
" 43027201",20.3795778445953,-35.1052303726341,75.8643860618247
" 43113601",20.3795778445953,-35.5927989516941,76.3519546408847
" 43200001",20.3795778445953,-36.0761568999712,76.8353125891618
" 43286401",20.3795778445953,-36.5554114578707,77.3145671470613
" 43372801",20.3795778445953,-37.0306653894738,77.7898210786644
