Date,High,Low,Close,Open,Volume,Close.adj
2018/5/16,43.23,36.02,43.23,36.02,24566,43.23
2018/5/17,47.55,47.55,47.55,47.55,8804,47.55
2018/5/18,52.30,52.30,52.30,52.30,13870,52.30
2018/5/21,57.53,57.53,57.53,57.53,19623,57.53
2018/5/22,63.28,63.28,63.28,63.28,55944,63.28
2018/5/23,69.61,69.61,69.61,69.61,55773,69.61
2018/5/24,76.57,76.57,76.57,76.57,60211,76.57
2018/5/25,84.23,84.23,84.23,84.23,158820,84.23
2018/5/28,92.65,92.65,92.65,92.65,245978,92.65
2018/5/29,101.92,101.92,101.92,101.92,479528,101.92
2018/5/30,112.11,102.83,103.77,112.11,21212162,103.77
2018/5/31,114.16,111.19,114.16,114.16,23146994,114.16
2018/6/01,122.01,108.82,110.71,117.80,17573771,110.71
2018/6/04,119.37,110.74,114.31,113.82,13573406,114.31
2018/6/05,125.74,109.91,125.74,112.64,14208052,125.74
2018/6/06,130.48,120.84,123.29,128.78,15081683,123.29
2018/6/07,125.06,118.39,123.19,122.99,10187291,123.19
2018/6/08,128.63,121.39,122.99,122.12,9970464,122.99
2018/6/11,119.45,111.98,118.19,117.91,11679011,118.19
2018/6/12,118.30,112.01,115.28,116.80,7855266,115.28
2018/6/13,126.81,111.04,119.33,112.92,13820431,119.33
2018/6/14,130.71,119.80,123.43,119.80,12410396,123.43
2018/6/15,128.36,115.92,123.44,121.47,10846073,123.44
2018/6/19,129.75,114.21,117.81,121.39,11549610,117.81
2018/6/20,129.59,112.81,127.01,117.33,16391878,127.01
2018/6/21,126.76,114.32,114.32,125.02,16708937,114.32
2018/6/22,110.77,102.89,104.82,107.83,11857030,104.82
2018/6/25,107.92,101.43,101.43,105.00,8139712,101.43
2018/6/26,110.37,102.34,107.52,103.32,9255989,107.52
2018/6/27,110.87,104.93,108.87,106.12,7780435,108.87
2018/6/28,112.14,99.49,99.79,109.41,7842207,99.79
2018/6/29,109.77,100.33,109.77,101.28,9483444,109.77
2018/7/02,115.69,110.25,111.95,113.90,10915197,111.95
2018/7/03,119.90,109.69,115.80,112.47,10881633,115.80
2018/7/04,114.69,105.62,109.20,114.69,8702780,109.20
2018/7/05,117.28,108.82,111.50,109.30,9165712,111.50
2018/7/06,122.65,112.92,117.80,113.38,12902117,117.80
2018/7/09,124.04,118.81,122.79,122.49,10892333,122.79
2018/7/10,122.92,118.90,121.65,121.68,7173989,121.65
2018/7/11,123.67,115.81,123.67,117.77,8457894,123.67
2018/7/12,134.65,121.49,128.32,123.57,10662520,128.32
2018/7/13,119.78,115.49,115.49,118.80,5726326,115.49
2018/7/16,112.14,106.70,108.61,109.09,10027090,108.61
2018/7/17,110.59,106.62,110.03,107.82,5143497,110.03
2018/7/18,109.81,105.40,105.63,109.22,5820964,105.63
2018/7/19,108.10,103.30,106.82,106.32,4102836,106.82
2018/7/20,109.50,103.71,108.06,106.82,5420514,108.06
2018/7/23,112.04,106.30,109.80,107.72,5613492,109.80
2018/7/24,112.81,107.32,110.81,108.82,4865257,110.81
2018/7/25,114.90,106.14,107.30,110.81,5547076,107.30
2018/7/26,106.82,99.51,99.64,106.82,6687126,99.64
2018/7/27,101.00,96.65,97.83,99.82,3386163,97.83
2018/7/30,98.79,95.42,98.79,97.80,4054165,98.79
2018/7/31,99.33,95.86,96.39,97.93,2042857,96.39
2018/8/01,98.40,94.52,94.57,96.20,2051116,94.57
2018/8/02,95.84,89.35,95.54,94.40,3352886,95.54
2018/8/03,95.32,90.95,91.84,93.84,1997889,91.84
2018/8/06,93.44,89.66,92.76,92.44,2189037,92.76
2018/8/07,99.67,92.44,98.30,92.64,3788025,98.30
2018/8/08,98.21,92.94,92.94,96.84,2684665,92.94
2018/8/09,101.23,90.90,97.63,92.63,3904385,97.63
2018/8/10,98.83,97.19,98.71,97.74,2681828,98.71
2018/8/13,103.42,97.43,102.13,97.48,3851862,102.13
2018/8/14,103.70,98.43,99.13,102.02,2787722,99.13
2018/8/15,99.58,92.64,95.50,98.49,3486715,95.50
2018/8/16,96.18,90.43,92.94,92.84,2668641,92.94
2018/8/17,95.43,90.73,91.74,94.53,2219935,91.74
2018/8/20,97.17,90.25,97.00,90.85,2718148,97.00
2018/8/21,98.89,95.07,96.49,97.33,2806382,96.49
2018/8/22,97.83,94.34,94.84,95.97,1819433,94.84
2018/8/23,98.33,94.85,97.59,95.43,2431905,97.59
2018/8/24,97.33,94.33,94.46,95.84,1836362,94.46
2018/8/27,100.48,94.34,98.21,94.84,2699711,98.21
2018/8/28,98.91,96.50,97.28,98.19,1780331,97.28
2018/8/29,100.60,96.84,98.30,97.54,1780433,98.30
2018/8/30,98.81,96.84,97.20,98.81,1049706,97.20
2018/8/31,96.24,92.93,92.93,96.09,1896361,92.93
2018/9/03,100.23,89.95,98.03,93.64,2966933,98.03
2018/9/04,100.18,95.64,99.22,98.43,2758152,99.22
2018/9/05,99.03,94.34,95.04,98.83,2332098,95.04
2018/9/06,98.33,93.04,95.54,94.34,1782047,95.54
2018/9/07,97.98,91.50,91.78,95.46,3375652,91.78
2018/9/10,93.17,90.35,91.34,90.85,1393337,91.34
2018/9/11,93.29,90.85,92.17,91.65,1178152,92.17
2018/9/12,93.01,90.93,91.45,91.85,1384275,91.45
2018/9/13,93.47,90.65,92.10,92.84,1419904,92.10
2018/9/14,92.63,84.20,84.69,91.99,3304649,84.69
2018/9/17,83.83,79.87,80.53,82.76,2716430,80.53
2018/9/18,83.06,80.52,82.56,80.52,1997644,82.56
2018/9/19,87.40,80.91,85.26,81.86,2500776,85.26
2018/9/20,86.10,84.44,84.67,84.44,909963,84.67
2018/9/21,86.05,83.40,85.08,84.88,1290217,85.08
2018/9/25,86.59,83.16,84.32,84.66,1225377,84.32
2018/9/26,85.84,82.67,85.30,84.82,1607470,85.30
2018/9/27,86.69,83.20,83.20,85.22,1411338,83.20
2018/9/28,83.76,81.35,82.88,83.74,1507550,82.88
2018/10/08,79.87,74.59,74.59,79.87,2939014,74.59
2018/10/09,75.87,71.56,72.68,74.59,2459068,72.68
2018/10/10,73.87,71.94,73.72,72.78,1466014,73.72
2018/10/11,72.13,68.78,69.48,69.78,2336858,69.48
2018/10/12,71.68,67.88,70.34,69.31,1820848,70.34
2018/10/15,74.30,70.44,71.35,70.66,1965656,71.35
2018/10/16,71.88,66.91,67.88,71.09,2216458,67.88
2018/10/17,70.38,67.99,69.48,70.38,1507696,69.48
2018/10/18,71.46,66.92,69.58,68.72,1718509,69.58
2018/10/19,74.86,67.55,74.27,68.38,2549370,74.27
2018/10/22,78.72,76.38,77.34,76.50,3299203,77.34
2018/10/23,77.64,73.72,74.16,76.56,1784262,74.16
2018/10/24,76.11,73.38,73.48,74.16,1015170,73.48
2018/10/25,73.00,69.45,72.46,69.78,1661000,72.46
2018/10/26,73.72,68.48,69.78,73.03,1551430,69.78
2018/10/29,73.14,69.20,71.12,69.95,1574245,71.12
2018/10/30,75.15,69.88,74.45,70.16,1767680,74.45
2018/10/31,77.23,73.18,74.87,74.02,2087055,74.87
2018/11/01,82.36,76.51,76.86,76.67,3735848,76.86
2018/11/02,84.45,80.17,83.75,81.22,3727171,83.75
2018/11/05,88.35,82.67,84.06,85.35,2850503,84.06
2018/11/06,84.81,80.74,84.22,83.15,1697501,84.22
2018/11/07,85.33,82.72,83.16,84.27,1133690,83.16
2018/11/08,84.86,81.89,82.56,83.87,1104112,82.56
2018/11/09,84.41,81.16,82.31,81.27,1063185,82.31
2018/11/12,88.27,80.67,88.23,80.67,1703758,88.23
2018/11/13,89.66,85.90,87.40,86.84,1595852,87.40
2018/11/14,87.48,84.86,86.10,87.48,1450518,86.10
2018/11/15,90.03,85.50,89.33,85.95,1482319,89.33
2018/11/16,95.28,88.85,91.00,89.25,1721538,91.00
2018/11/19,91.60,89.35,89.81,90.80,880978,89.81
2018/11/20,89.40,83.56,85.52,89.40,2061195,85.52
2018/11/21,86.10,83.66,85.35,84.53,897288,85.35
2018/11/22,87.33,84.76,85.20,86.54,824221,85.20
2018/11/23,86.23,82.86,83.46,85.59,736577,83.46
2018/11/26,84.44,82.66,83.17,83.67,453701,83.17
2018/11/27,86.13,83.42,84.58,83.42,725829,84.58
2018/11/28,85.98,81.06,85.87,84.04,1371185,85.87
2018/11/29,87.31,81.36,81.76,85.83,1317251,81.76
2018/11/30,82.86,79.86,81.86,80.36,1180565,81.86
2018/12/03,89.96,83.86,86.85,83.86,2201133,86.85
2018/12/04,89.34,86.65,87.65,87.74,1670027,87.65
2018/12/05,86.16,84.38,84.86,85.56,1186767,84.86
2018/12/06,84.72,82.91,82.98,83.96,750700,82.98
2018/12/07,84.25,83.00,83.90,83.00,469200,83.90
2018/12/10,86.73,83.66,84.18,83.96,594589,84.18
2018/12/11,89.35,84.16,87.93,84.16,1406776,87.93
2018/12/12,88.81,85.85,86.00,87.84,643136,86.00
2018/12/13,89.60,86.60,88.28,86.65,1053488,88.28
2018/12/14,90.35,87.30,88.06,88.28,957041,88.06
2018/12/17,87.70,82.36,83.76,86.85,1868161,83.76
2018/12/18,84.56,82.87,83.96,83.24,744143,83.96
2018/12/19,84.34,81.37,82.19,83.96,601226,82.19
2018/12/20,82.36,78.92,82.36,81.44,1129535,82.36
2018/12/21,83.46,80.88,82.49,80.97,919997,82.49
2018/12/24,84.86,81.76,84.56,82.66,964863,84.56
2018/12/25,88.33,83.20,88.02,83.77,1486909,88.02
2018/12/26,89.32,85.39,87.24,86.85,1642939,87.24
